epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.6646535396575928,0,0,0.0,,
1,0.653282105922699,0,0,0.0,,
2,0.6264674663543701,0,0,0.0,,
3,0.5974013209342957,0,0,0.0,,
4,0.5940020680427551,0,0,0.0,,
5,0.5823848247528076,0,0,0.0,,
6,0.5728368759155273,0,0,0.0,,
7,0.5375118255615234,0,0,0.0,,
8,0.5313088297843933,0,0,0.0,,
9,0.5417006015777588,0,0,0.0,,
10,0.5273309350013733,0,0,0.0,,
11,0.5435956716537476,0,0,0.0,,
12,0.5401090383529663,0,0,0.0,,
13,0.5428308844566345,0,0,0.0,,
14,0.5429326295852661,0,0,0.0,,
15,0.5425150394439697,0,0,0.0,,
16,0.5323589444160461,0,0,0.0,,
17,0.5404693484306335,0,0,0.0,,
18,0.5394027233123779,0,0,0.0,,
19,0.5373266935348511,0,0,0.0,,
20,0.556686282157898,0,0,0.0,,
21,0.5429903864860535,0,0,0.0,,
22,0.5384940505027771,0,0,0.0,,
23,0.5310110449790955,0,0,0.0,,
24,0.5472639799118042,0,0,0.0,,
25,0.5316787362098694,0,0,0.0,,
26,0.5339789986610413,0,0,0.0,,
27,0.5395411252975464,0,0,0.0,,
28,0.5361015796661377,0,0,0.0,,
29,0.5315679907798767,0,0,0.0,,
30,0.5495935678482056,0,0,0.0,,
31,0.5386958718299866,0,0,0.0,,
32,0.53189617395401,0,0,0.0,,
33,0.5413384437561035,0,0,0.0,,
34,0.5400055646896362,0,0,0.0,,
35,0.5519214272499084,0,0,0.0,,
36,0.546309232711792,0,0,0.0,,
37,0.5261073708534241,0,0,0.0,,
38,0.5342372059822083,0,0,0.0,,
39,0.5322195291519165,0,0,0.0,,
40,0.5237290859222412,0,0,0.0,,
41,0.5336752533912659,0,0,0.0,,
42,0.529754638671875,0,0,0.0,,
43,0.5356831550598145,0,0,0.0,,
44,0.5400976538658142,0,0,0.0,,
45,0.5334010124206543,0,0,0.0,,
46,0.5353638529777527,0,0,0.0,,
47,0.543106734752655,0,0,0.0,,
48,0.5296286940574646,0,0,0.0,,
49,0.5210844874382019,0,0,0.0,,
50,0.5463643074035645,0,0,0.0,,
51,0.547937273979187,0,0,0.0,,
52,0.5391895174980164,0,0,0.0,,
53,0.5415899753570557,0,0,0.0,,
54,0.5339774489402771,0,0,0.0,,
55,0.5236986875534058,0,0,0.0,,
56,0.5297441482543945,0,0,0.0,,
57,0.5358890295028687,0,0,0.0,,
58,0.5330344438552856,0,0,0.0,,
59,0.5170884728431702,0,0,0.0,,
60,0.5401910543441772,0,0,0.0,,
61,0.5437621474266052,0,0,0.0,,
62,0.5461406707763672,0,0,0.0,,
63,0.5414720177650452,0,0,0.0,,
64,0.5379517674446106,0,0,0.0,,
65,0.5370544791221619,0,0,0.0,,
66,0.5332066416740417,0,0,0.0,,
67,0.5328656435012817,0,0,0.0,,
68,0.5369443297386169,0,0,0.0,,
69,0.5405482649803162,0,0,0.0,,
