epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.661378800868988,0,0,0.0,,
1,0.6464337110519409,0,0,0.0,,
2,0.6074944734573364,0,0,0.0,,
3,0.5848254561424255,0,0,0.0,,
4,0.5906715989112854,0,0,0.0,,
5,0.5752755999565125,0,0,0.0,,
6,0.5602253079414368,0,0,0.0,,
7,0.534862220287323,0,0,0.0,,
8,0.5384926795959473,0,0,0.0,,
9,0.5517701506614685,0,0,0.0,,
10,0.564859926700592,0,0,0.0,,
11,0.5595623254776001,0,0,0.0,,
12,0.5640825629234314,0,0,0.0,,
13,0.5623456835746765,0,0,0.0,,
14,0.5606954097747803,0,0,0.0,,
15,0.564886748790741,0,0,0.0,,
16,0.5597290396690369,0,0,0.0,,
17,0.5724773406982422,0,0,0.0,,
18,0.5671822428703308,0,0,0.0,,
19,0.5720233917236328,0,0,0.0,,
20,0.5641456842422485,0,0,0.0,,
21,0.5585822463035583,0,0,0.0,,
22,0.5487504005432129,0,0,0.0,,
23,0.5662496089935303,0,0,0.0,,
24,0.5772994756698608,0,0,0.0,,
25,0.5521401762962341,0,0,0.0,,
26,0.5498709082603455,0,0,0.0,,
27,0.5754981637001038,0,0,0.0,,
28,0.5647467970848083,0,0,0.0,,
29,0.5654533505439758,0,0,0.0,,
30,0.5653382539749146,0,1,0.0002583979328165,,
31,0.542226254940033,0,1,0.0002583979328165,,
32,0.5479966998100281,0,1,0.0002583979328165,,
33,0.5617836713790894,0,1,0.0002583979328165,,
34,0.5762771964073181,0,1,0.0002583979328165,,
35,0.5663824081420898,0,1,0.0002583979328165,,
36,0.556524932384491,0,1,0.0002583979328165,,
37,0.5715014934539795,0,1,0.0002583979328165,,
38,0.5623020529747009,0,1,0.0002583979328165,,
39,0.5699851512908936,0,1,0.0002583979328165,,
40,0.5588561296463013,0,2,0.000516795865633,,
41,0.5529429912567139,0,2,0.000516795865633,,
42,0.5303015112876892,0,2,0.000516795865633,,
43,0.5667636394500732,0,2,0.000516795865633,,
44,0.5556646585464478,0,2,0.000516795865633,,
45,0.5574008822441101,0,2,0.000516795865633,,
46,0.5739135146141052,0,2,0.000516795865633,,
47,0.5557911396026611,0,2,0.000516795865633,,
48,0.5600546002388,0,2,0.000516795865633,,
49,0.5568558573722839,0,2,0.000516795865633,,
50,0.5354840159416199,0,3,0.0007751937984496,,
51,0.5461298823356628,0,3,0.0007751937984496,,
52,0.5575710535049438,0,3,0.0007751937984496,,
53,0.5600684285163879,0,3,0.0007751937984496,,
54,0.5525187849998474,0,3,0.0007751937984496,,
55,0.556012749671936,0,3,0.0007751937984496,,
56,0.5220925211906433,0,3,0.0007751937984496,,
57,0.5229320526123047,0,3,0.0007751937984496,,
58,0.5577298998832703,0,3,0.0007751937984496,,
59,0.5497478246688843,0,3,0.0007751937984496,,
60,0.5560693144798279,0,1,0.0002583979328165,,
61,0.5512478351593018,0,1,0.0002583979328165,,
62,0.5474287271499634,0,1,0.0002583979328165,,
63,0.5233699679374695,0,1,0.0002583979328165,,
64,0.5503237843513489,0,1,0.0002583979328165,,
65,0.5508341789245605,0,1,0.0002583979328165,,
66,0.5289172530174255,0,1,0.0002583979328165,,
67,0.521614670753479,0,1,0.0002583979328165,,
68,0.5558043718338013,0,1,0.0002583979328165,,
69,0.5532150864601135,0,1,0.0002583979328165,,
