epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.661378800868988,0,0,0.0,,
1,0.6464337110519409,0,0,0.0,,
2,0.6076437830924988,0,0,0.0,,
3,0.5852553248405457,0,0,0.0,,
4,0.5899818539619446,0,0,0.0,,
5,0.5727306008338928,0,0,0.0,,
6,0.5595439076423645,0,0,0.0,,
7,0.5358003377914429,0,0,0.0,,
8,0.5395085215568542,0,0,0.0,,
9,0.5480631589889526,0,0,0.0,,
10,0.559428334236145,0,0,0.0,,
11,0.5603187084197998,0,0,0.0,,
12,0.5647111535072327,0,0,0.0,,
13,0.559416651725769,0,0,0.0,,
14,0.5577204823493958,0,0,0.0,,
15,0.5634424686431885,0,0,0.0,,
16,0.5585170388221741,0,0,0.0,,
17,0.5610000491142273,0,0,0.0,,
18,0.5633703470230103,0,0,0.0,,
19,0.5527293086051941,0,0,0.0,,
20,0.5585154891014099,0,0,0.0,,
21,0.5674277544021606,0,0,0.0,,
22,0.5553748607635498,0,0,0.0,,
23,0.5715107917785645,0,0,0.0,,
24,0.5668076872825623,0,0,0.0,,
25,0.5428628921508789,0,0,0.0,,
26,0.5478121042251587,0,0,0.0,,
27,0.5633419156074524,0,0,0.0,,
28,0.5678617358207703,0,0,0.0,,
29,0.5354846715927124,0,0,0.0,,
30,0.5438987016677856,0,1,0.0002583979328165,,
31,0.5577383637428284,0,1,0.0002583979328165,,
32,0.5447192192077637,0,1,0.0002583979328165,,
33,0.5479229688644409,0,1,0.0002583979328165,,
34,0.5658132433891296,0,1,0.0002583979328165,,
35,0.5630456805229187,0,1,0.0002583979328165,,
36,0.5695297718048096,0,1,0.0002583979328165,,
37,0.5607725381851196,0,1,0.0002583979328165,,
38,0.555897057056427,0,1,0.0002583979328165,,
39,0.564276933670044,0,1,0.0002583979328165,,
40,0.5563050508499146,0,1,0.0002583979328165,,
41,0.5502700805664062,0,1,0.0002583979328165,,
42,0.5557265877723694,0,1,0.0002583979328165,,
43,0.5395632386207581,0,1,0.0002583979328165,,
44,0.5482316613197327,0,1,0.0002583979328165,,
45,0.5630990266799927,0,1,0.0002583979328165,,
46,0.5702956914901733,0,1,0.0002583979328165,,
47,0.5602626204490662,0,1,0.0002583979328165,,
48,0.5464287996292114,0,1,0.0002583979328165,,
49,0.5500319004058838,0,1,0.0002583979328165,,
50,0.5525028705596924,0,2,0.000516795865633,,
51,0.5461596250534058,0,2,0.000516795865633,,
52,0.5585677623748779,0,2,0.000516795865633,,
53,0.5582751035690308,0,2,0.000516795865633,,
54,0.5570338368415833,0,2,0.000516795865633,,
55,0.5414486527442932,0,2,0.000516795865633,,
56,0.5225206017494202,0,2,0.000516795865633,,
57,0.5439794659614563,0,2,0.000516795865633,,
58,0.5592992901802063,0,2,0.000516795865633,,
59,0.5460373163223267,0,2,0.000516795865633,,
60,0.5557708740234375,0,2,0.000516795865633,,
61,0.5203844308853149,0,2,0.000516795865633,,
62,0.5226237773895264,0,2,0.000516795865633,,
63,0.5212956666946411,0,2,0.000516795865633,,
64,0.5521979928016663,0,2,0.000516795865633,,
65,0.5539810061454773,0,2,0.000516795865633,,
66,0.5244408845901489,0,2,0.000516795865633,,
67,0.5218011140823364,0,2,0.000516795865633,,
68,0.5465226173400879,0,2,0.000516795865633,,
69,0.5462640523910522,0,2,0.000516795865633,,
