epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.6647286415100098,0,1,0.0001441753171856,,
1,0.6302542686462402,0,1,0.0001441753171856,,
2,0.5793614983558655,0,1,0.0001441753171856,,
3,0.5629693865776062,0,1,0.0001441753171856,,
4,0.5552502870559692,0,1,0.0001441753171856,,
5,0.5396125316619873,0,1,0.0001441753171856,,
6,0.5160537362098694,0,1,0.0001441753171856,,
7,0.5019856691360474,0,1,0.0001441753171856,,
8,0.5144558548927307,0,1,0.0001441753171856,,
9,0.5392448902130127,0,1,0.0001441753171856,,
10,0.5279845595359802,0,0,0.0,,
11,0.5478788018226624,0,0,0.0,,
12,0.5621280670166016,0,0,0.0,,
13,0.5365729331970215,0,0,0.0,,
14,0.5626434087753296,0,0,0.0,,
15,0.5442315936088562,0,0,0.0,,
16,0.551759660243988,0,0,0.0,,
17,0.5441080927848816,0,0,0.0,,
18,0.5566463470458984,0,0,0.0,,
19,0.5291720628738403,0,0,0.0,,
20,0.5456650257110596,0,13,0.001874279123414,,
21,0.5342785716056824,0,13,0.001874279123414,,
22,0.536953866481781,0,13,0.001874279123414,,
23,0.5572919845581055,0,13,0.001874279123414,,
24,0.5527230501174927,0,13,0.001874279123414,,
25,0.540442943572998,0,13,0.001874279123414,,
26,0.5401191711425781,0,13,0.001874279123414,,
27,0.5711546540260315,0,13,0.001874279123414,,
28,0.566128134727478,0,13,0.001874279123414,,
29,0.5470863580703735,0,13,0.001874279123414,,
30,0.55125492811203,0,7,0.0010092272202998,,
31,0.5681431889533997,0,7,0.0010092272202998,,
32,0.5543387532234192,0,7,0.0010092272202998,,
33,0.5626405477523804,0,7,0.0010092272202998,,
34,0.5497787594795227,0,7,0.0010092272202998,,
35,0.5718308091163635,0,7,0.0010092272202998,,
36,0.5675455331802368,0,7,0.0010092272202998,,
37,0.5757810473442078,0,7,0.0010092272202998,,
38,0.5767627358436584,0,7,0.0010092272202998,,
39,0.5790255665779114,0,7,0.0010092272202998,,
40,0.5714408755302429,0,15,0.0021626297577854,,
41,0.564162015914917,0,15,0.0021626297577854,,
42,0.5699853897094727,0,15,0.0021626297577854,,
43,0.562452495098114,0,15,0.0021626297577854,,
44,0.5836513638496399,0,15,0.0021626297577854,,
45,0.5848010182380676,0,15,0.0021626297577854,,
46,0.5820558071136475,0,15,0.0021626297577854,,
47,0.5698292255401611,0,15,0.0021626297577854,,
48,0.5765992999076843,0,15,0.0021626297577854,,
49,0.5769751071929932,0,15,0.0021626297577854,,
50,0.5726969242095947,0,20,0.0028835063437139,,
51,0.5780131816864014,0,20,0.0028835063437139,,
52,0.5819029211997986,0,20,0.0028835063437139,,
53,0.5910815596580505,0,20,0.0028835063437139,,
54,0.6002439260482788,0,20,0.0028835063437139,,
55,0.5701262354850769,0,20,0.0028835063437139,,
56,0.5993857979774475,0,20,0.0028835063437139,,
57,0.5797165632247925,0,20,0.0028835063437139,,
58,0.5812337398529053,0,20,0.0028835063437139,,
59,0.601811408996582,0,20,0.0028835063437139,,
60,0.6001126766204834,0,20,0.0028835063437139,,
61,0.5977790951728821,0,20,0.0028835063437139,,
62,0.6022065877914429,0,20,0.0028835063437139,,
63,0.6025365591049194,0,20,0.0028835063437139,,
64,0.6154231429100037,0,20,0.0028835063437139,,
65,0.59964919090271,0,20,0.0028835063437139,,
66,0.5942562818527222,0,20,0.0028835063437139,,
67,0.6151645183563232,0,20,0.0028835063437139,,
68,0.6062001585960388,0,20,0.0028835063437139,,
69,0.6103134155273438,0,20,0.0028835063437139,,
