epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.8431881070137024,0,5,0.0002115417160264,,
1,0.5762139558792114,0,5,0.0002115417160264,,
2,0.5451400876045227,0,5,0.0002115417160264,,
3,0.596908688545227,0,5,0.0002115417160264,,
4,0.6021988987922668,0,5,0.0002115417160264,,
5,0.6220778226852417,0,5,0.0002115417160264,,
6,0.6235045790672302,0,5,0.0002115417160264,,
7,0.6112526059150696,0,5,0.0002115417160264,,
8,0.5902281403541565,0,5,0.0002115417160264,,
9,0.587033212184906,0,5,0.0002115417160264,,
10,0.5685396790504456,0,17,0.0007192418344897,,
11,0.5723256468772888,0,17,0.0007192418344897,,
12,0.5595462918281555,0,17,0.0007192418344897,,
13,0.5359923243522644,0,17,0.0007192418344897,,
14,0.5433656573295593,0,17,0.0007192418344897,,
15,0.5572811961174011,0,17,0.0007192418344897,,
16,0.5510794520378113,0,17,0.0007192418344897,,
17,0.5469176769256592,0,17,0.0007192418344897,,
18,0.5504338145256042,0,17,0.0007192418344897,,
19,0.5505229830741882,0,17,0.0007192418344897,,
20,0.5497781038284302,0,13,0.0005500084616686,,
21,0.5483706593513489,0,13,0.0005500084616686,,
22,0.5479589104652405,0,13,0.0005500084616686,,
23,0.544245719909668,0,13,0.0005500084616686,,
24,0.5553286671638489,0,13,0.0005500084616686,,
25,0.5484856963157654,0,13,0.0005500084616686,,
26,0.5494128465652466,0,13,0.0005500084616686,,
27,0.550085186958313,0,13,0.0005500084616686,,
28,0.5451341867446899,0,13,0.0005500084616686,,
29,0.5481894016265869,0,13,0.0005500084616686,,
30,0.5427386164665222,0,13,0.0005500084616686,,
31,0.5500048995018005,0,13,0.0005500084616686,,
32,0.551173746585846,0,13,0.0005500084616686,,
33,0.5485264658927917,0,13,0.0005500084616686,,
34,0.5390251278877258,0,13,0.0005500084616686,,
35,0.5501876473426819,0,13,0.0005500084616686,,
36,0.5477972030639648,0,13,0.0005500084616686,,
37,0.5475450158119202,0,13,0.0005500084616686,,
38,0.5437206625938416,0,13,0.0005500084616686,,
39,0.5446842312812805,0,13,0.0005500084616686,,
40,0.5465105772018433,0,19,0.0008038585209003,,
41,0.5485835075378418,0,19,0.0008038585209003,,
42,0.5563096404075623,0,19,0.0008038585209003,,
43,0.54999840259552,0,19,0.0008038585209003,,
44,0.5528741478919983,0,19,0.0008038585209003,,
45,0.5564085245132446,0,19,0.0008038585209003,,
46,0.5565226674079895,0,19,0.0008038585209003,,
47,0.5539242029190063,0,19,0.0008038585209003,,
48,0.5484814047813416,0,19,0.0008038585209003,,
49,0.5463008284568787,0,19,0.0008038585209003,,
50,0.54746413230896,0,13,0.0005500084616686,,
51,0.5529635548591614,0,13,0.0005500084616686,,
52,0.5426770448684692,0,13,0.0005500084616686,,
53,0.5475301742553711,0,13,0.0005500084616686,,
54,0.5445857644081116,0,13,0.0005500084616686,,
55,0.5481892228126526,0,13,0.0005500084616686,,
56,0.5463452339172363,0,13,0.0005500084616686,,
57,0.5557146072387695,0,13,0.0005500084616686,,
58,0.5529478788375854,0,13,0.0005500084616686,,
59,0.5463878512382507,0,13,0.0005500084616686,,
60,0.5532638430595398,0,15,0.0006346251480792,,
61,0.5517969131469727,0,15,0.0006346251480792,,
62,0.5507888197898865,0,15,0.0006346251480792,,
63,0.538607120513916,0,15,0.0006346251480792,,
64,0.554133415222168,0,15,0.0006346251480792,,
65,0.5589503049850464,0,15,0.0006346251480792,,
66,0.556350827217102,0,15,0.0006346251480792,,
67,0.5493751168251038,0,15,0.0006346251480792,,
68,0.5514541268348694,0,15,0.0006346251480792,,
69,0.551940381526947,0,15,0.0006346251480792,,
