dataset	scope	r(Δradius, Hit@3)	p1	r(Δradius, Hit@10)	p2	r(total_removed, Δradius)	p3	points
Cora_ML	c0p	-0.17549312266275802	0.35361575484756114	0.20159733137830485	0.2853889911623172	-0.09656233695876273	0.6117275201689624	30
Cora_ML	noncore	0.058969540610872215	0.756914896457423	0.27118639293436897	0.14718144653703513	-0.22117991989672453	0.24015755874997227	30
LastFMAsia	c0p	0.3143733901829461	0.09065915693245172	0.2217840007093083	0.2388430546440867	-0.6517895695401618	9.54240091775921e-05	30
LastFMAsia	noncore	-0.15444204722479132	0.4151432742313915	-0.014307067882424479	0.9401853173781192	0.13359927365974728	0.48154175081751793	30
citeseer	c0p	-0.011034928151853151	0.9538488361900348	0.11315349043732853	0.5516098496697668	0.40862364797614903	0.02496688158526765	30
citeseer	noncore	-0.026723763490378964	0.8885199233149167	-0.18707077260589022	0.32224002842317584	-0.008854748720484772	0.9629600005007651	30
cora	c0p	-0.1731152660826927	0.36027823954583765	-0.24584631970871845	0.1903500717957821	0.24498847367463317	0.19195086093617325	30
cora	noncore	0.022722090834992905	0.9051320213996605	0.09654390855283786	0.6117957933130315	-0.2270292557541453	0.22763088941290158	30
