dataset,mode,test_hit3_mean,test_hit3_var,test_hit3_std,test_hit3_n_eff,test_hit10_mean,test_hit10_var,test_hit10_std,test_hit10_n_eff,n_runs
Cora_ML,any,0.2849079754601227,0.002479663891909145,0.04979622367116954,180.0,0.46565098841172464,0.0018253136563314914,0.04272368963855406,180.0,180.0
LastFMAsia,any,0.13484012789768185,0.004108436911095696,0.06409708972407169,180.0,0.23867705835331737,0.003389027389880227,0.05821535355797667,180.0,180.0
citeseer,any,0.4269474969474969,0.010758011110518937,0.10372083257725488,180.0,0.6056410256410255,0.001999494029207333,0.044715702266735484,180.0,180.0
cora,any,0.36071052076744675,0.015557937672179256,0.12473146223859984,180.0,0.5553130929791272,0.0030622864525848732,0.05533792960153888,180.0,180.0
