dataset,setting,cluster,test@3_mean,test@3_var,test@3_std,n3,test@10_mean,test@10_var,test@10_std,n10
citeseer,inter,gmm,0.6325274725274725,6.009602371860797e-05,0.007752162518846465,30,0.7055677655677656,4.346745839735632e-05,0.0065929855450589546,30
citeseer,intra,gmm,0.6343589743589744,5.379438043325874e-05,0.007334465245214456,30,0.704029304029304,7.173324338917393e-05,0.008469548003829598,30
cora,inter,gmm,0.6052498418722329,1.2002107570089948e-07,0.00034644058033218264,30,0.7446552814674257,4.639435374507037e-06,0.0021539348584641636,30
cora,intra,gmm,0.6052498418722329,1.2002107570089948e-07,0.00034644058033218264,30,0.7445920303605312,4.618742085593093e-06,0.00214912588872618,30
Cora,inter,gmm,0.2961963190184049,3.2352975531504824e-05,0.0056879676099205086,30,0.6053169734151329,8.299361930311142e-05,0.009110083386177727,30
Cora,intra,gmm,0.2956237218813906,3.3737356170422364e-05,0.005808386709786321,30,0.6060122699386503,7.313163772662208e-05,0.008551703790860747,30
LastFMAsia,inter,gmm,0.16553956834532374,3.460055076752289e-05,0.005882223284398756,30,0.29008393285371703,2.9605836541384637e-05,0.005441124565876492,30
LastFMAsia,intra,gmm,0.17473621103117506,0.0008342689777723842,0.028883714750225328,30,0.3179976019184652,0.002969812044187523,0.05449598190864647,30
