dataset,scope,n_runs,test_hit3_mean,test_hit3_var,test_hit3_std,test_hit3_n_eff,test_hit10_mean,test_hit10_var,test_hit10_std,test_hit10_n_eff
Cora_ML,c0p,90.0,0.2678936605316974,0.0024511796928159495,0.04950938994590773,90.0,0.4947239263803681,0.0009611336350845649,0.03100215532966321,90.0
Cora_ML,cp,90.0,0.30192229038854806,0.0019505303342029505,0.04416480877579966,90.0,0.43657805044308123,0.0010005373143557757,0.03163127114669557,90.0
LastFMAsia,c0p,90.0,0.19666266986410869,0.0004102685840980436,0.020255087857080346,90.0,0.29331734612310156,0.0005460379251364085,0.023367454400007044,90.0
LastFMAsia,cp,90.0,0.073017585931255,0.00012282581985498822,0.011082681077022302,90.0,0.18403677058353315,0.00023188245943541017,0.015227687264828175,90.0
citeseer,c0p,90.0,0.5259584859584859,0.0007775909867526112,0.027885318480386972,90.0,0.6403174603174603,0.0005853020640031383,0.02419301684377412,90.0
citeseer,cp,90.0,0.3279365079365079,0.0010326597850983579,0.03213502427412119,90.0,0.5709645909645908,0.0010042205123079308,0.03168943849783285,90.0
cora,c0p,90.0,0.4824583596879612,0.0002012762429846724,0.014187185872634235,90.0,0.6079485557663925,0.0002461128803431366,0.015687985222556038,90.0
cora,cp,90.0,0.23896268184693228,0.0011112441232320844,0.03333532845544025,90.0,0.5026776301918617,0.00030962560621150694,0.01759618158043122,90.0
