dataset	r(Δradius, Hit@3)	p1	r(Δradius, Hit@10)	p2	r(total_removed, Δradius)	p3	points
Cora_ML	-0.04095834397221666	0.7560146640947976	0.23953362189489036	0.06528168289701655	-0.15554881679735547	0.23531835836471082	60
LastFMAsia	0.09402144100288634	0.47488597500520147	0.07767168990373659	0.5552721685464592	-0.36749318730409475	0.003870524835543178	60
citeseer	0.03765686544087647	0.7751430072733525	0.03338609467511931	0.8000842461035259	0.3060033696817892	0.01741740300885186	60
cora	-0.05853183529094756	0.6568767255907594	0.05844350399564836	0.6573622684973168	-0.04372749763368494	0.740081564655841	60
