dataset	scope	n_runs	mean_delta_radius	mean_total_removed	test_hit3_mean	test_hit10_mean
Cora_ML	c0p	30	-0.06605729999999999	30.666666666666668	0.2779550102249489	0.49779141104294483
Cora_ML	noncore	30	-0.0645656	30.566666666666666	0.27881390593047034	0.501881390593047
LastFMAsia	c0p	30	-0.28088956666666665	16.3	0.17416067146282976	0.3080095923261391
LastFMAsia	noncore	30	-0.2828393	16.333333333333332	0.17334532374100722	0.31606714628297367
citeseer	c0p	30	-0.11394576666666668	40.333333333333336	0.508058608058608	0.6381684981684983
citeseer	noncore	30	-0.11120363333333332	40.46666666666667	0.5249084249084248	0.6449084249084251
cora	c0p	30	-0.12802406666666666	31.066666666666666	0.4848197343453512	0.6062618595825428
cora	noncore	30	-0.12288106666666666	30.733333333333334	0.48583175205566104	0.6150537634408602
