dataset,setting,alpha,gamma,n_runs,best@3_mean,best@3_var,best@3_std,best@10_mean,best@10_var,best@10_std,test@3_mean,test@3_var,test@3_std,test@10_mean,test@10_var,test@10_std,test_roc_mean,test_roc_var,test_roc_std,test_ap_mean,test_ap_var,test_ap_std
Cora_ML,inter,0.8,1.0,6,0.48977505112474434,3.216781462104969e-05,0.00567166771073991,0.6732106339468302,0.00010277641863324433,0.01013787051767995,0.37198364008179957,0.0010992760987115317,0.033155332884945245,0.6186094069529652,0.0002983426800657408,0.0172725991114754,0.9688333333333333,4.14194666666673e-06,0.002035177305953152,0.9679333333333333,2.13262666666669e-06,0.001460351555847663
Cora_ML,inter,0.7,1.0,6,0.5010224948875256,0.00036353143387657394,0.019066500304895335,0.672597137014315,0.0001243052680442118,0.011149227239778181,0.33905930470347645,0.0006820981846011021,0.02611700948809228,0.6251533742331289,0.00014738981519816287,0.012140420717510694,0.9686116666666668,4.010696666666701e-06,0.002002672381261274,0.9675033333333333,1.6086266666666604e-06,0.001268316469445485
Cora_ML,inter,0.6,1.0,6,0.49897750511247446,0.0002725983916092682,0.01651055394616632,0.6754601226993865,6.970529564530073e-05,0.008348969735560234,0.3304703476482618,0.00028765353105749845,0.01696035173743453,0.6241308793456033,0.00023947708482316475,0.01547504716707399,0.9686466666666668,2.6045866666667053e-06,0.0016138731879136927,0.96733,1.6571199999999834e-06,0.0012872917307277256
Cora_ML,intra,0.8,1.0,4,0.49447852760736194,0.0006152533654509632,0.024804301349785347,0.6634969325153375,3.249400930909477e-05,0.005700351682931043,0.36779141104294477,0.00043797909844806645,0.02092795017310741,0.6049079754601228,0.00022080871190736142,0.014859633639742314,0.966685,9.414966666666443e-06,0.003068381766773236,0.9665225,2.0437583333333547e-06,0.0014296007601191862
Cora_ML,intra,0.7,1.0,4,0.5033742331288343,0.0007180046921851281,0.02679560956920234,0.663803680981595,2.3084547153951624e-05,0.004804638087718119,0.36503067484662577,0.00043208250216417605,0.020786594289690076,0.6098159509202454,0.0002539300186934647,0.015935181790411576,0.9660425,1.0684091666666882e-05,0.0032686528825598598,0.9662975,1.6404250000000136e-06,0.001280790771359637
Cora_ML,intra,0.6,1.0,4,0.500920245398773,0.0009287766444603348,0.030475837059223406,0.6665644171779141,3.3497685272310035e-05,0.0057877184859243145,0.32239263803680984,0.00539613835673153,0.07345841242996971,0.5901840490797546,0.0016239477084823172,0.040298234557885004,0.9642175,1.3185158333333478e-05,0.0036311373333066705,0.96458,7.954266666666656e-06,0.0028203309498473147
LastFMAsia,inter,0.8,1.0,2,0.2742805755395683,6.469644428343337e-08,0.00025435495726137004,0.3940647482014389,3.1701257698876754e-06,0.001780484700829433,0.1318345323741007,2.3355416386315458e-05,0.004832744187965618,0.2811151079136691,7.82826975829412e-06,0.0027979045298748345,0.963015,4.500000000025654e-10,2.1213203435656892e-05,0.962,8.000000000016001e-10,2.8284271247490186e-05
LastFMAsia,inter,0.7,1.0,2,0.2784172661870503,9.316287976812727e-06,0.0030522594871361655,0.40431654676258993,4.140572434139096e-06,0.002034839658090803,0.1852517985611511,0.0039790901092076,0.06308002940081432,0.3,0.0009008332902023706,0.030013884956839067,0.9624250000000001,1.9845000000001224e-07,0.00044547727214753867,0.962155,5.444999999998068e-08,0.0002333452377915193
LastFMAsia,inter,0.6,1.0,3,0.28129496402877696,2.9630971481807447e-05,0.005443433795115676,0.4029976019184652,1.2982419819540177e-05,0.003603112518301389,0.1682254196642686,0.0019489588185566645,0.04414701369919221,0.3171462829736211,0.003900203578144677,0.06245160989233726,0.9626633333333334,1.7373333333334775e-07,0.0004168133075290996,0.96215,9.640000000001962e-08,0.00031048349392523206
LastFMAsia,intra,0.8,1.0,4,0.2841726618705036,3.9723616790021434e-05,0.006302667434509093,0.42973621103117504,6.370443213774311e-05,0.007981505631003659,0.19244604316546762,4.515811810982878e-05,0.006719979025996196,0.40227817745803357,6.538653968911186e-05,0.008086194388531101,0.9622999999999999,9.299999999996397e-09,9.643650760991087e-05,0.9625966666666667,2.8933333333334952e-08,0.00017009801096231242
