epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.6647286415100098,0,7,0.0010092272202998,,
1,0.6308584809303284,0,7,0.0010092272202998,,
2,0.5783607959747314,0,7,0.0010092272202998,,
3,0.5724914073944092,0,7,0.0010092272202998,,
4,0.5668143630027771,0,7,0.0010092272202998,,
5,0.5577016472816467,0,7,0.0010092272202998,,
6,0.5379709005355835,0,7,0.0010092272202998,,
7,0.5227887034416199,0,7,0.0010092272202998,,
8,0.5424725413322449,0,7,0.0010092272202998,,
9,0.5704985857009888,0,7,0.0010092272202998,,
10,0.5709788799285889,0,24,0.0034602076124567,,
11,0.5734433531761169,0,24,0.0034602076124567,,
12,0.5749508738517761,0,24,0.0034602076124567,,
13,0.574695348739624,0,24,0.0034602076124567,,
14,0.570391058921814,0,24,0.0034602076124567,,
15,0.5749779939651489,0,24,0.0034602076124567,,
16,0.5962738394737244,0,24,0.0034602076124567,,
17,0.5918065905570984,0,24,0.0034602076124567,,
18,0.5880987048149109,0,24,0.0034602076124567,,
19,0.6011831164360046,0,24,0.0034602076124567,,
20,0.5899966955184937,0,142,0.020472895040369,,
21,0.5836519598960876,0,142,0.020472895040369,,
22,0.5880632400512695,0,142,0.020472895040369,,
23,0.6009087562561035,0,142,0.020472895040369,,
24,0.5949377417564392,0,142,0.020472895040369,,
25,0.590586245059967,0,142,0.020472895040369,,
26,0.5940729379653931,0,142,0.020472895040369,,
27,0.6019299626350403,0,142,0.020472895040369,,
28,0.6029136776924133,0,142,0.020472895040369,,
29,0.5964911580085754,0,142,0.020472895040369,,
30,0.6032461524009705,0,0,0.0,,
31,0.6032236218452454,0,0,0.0,,
32,0.6118116974830627,0,0,0.0,,
33,0.6091615557670593,0,0,0.0,,
34,0.6122406125068665,0,0,0.0,,
35,0.6077225208282471,0,0,0.0,,
36,0.6225242614746094,0,0,0.0,,
37,0.6142082214355469,0,0,0.0,,
38,0.618737518787384,0,0,0.0,,
39,0.6191397905349731,0,0,0.0,,
40,0.6202998161315918,0,179,0.0258073817762399,,
41,0.6213703751564026,0,179,0.0258073817762399,,
42,0.614987313747406,0,179,0.0258073817762399,,
43,0.6199874877929688,0,179,0.0258073817762399,,
44,0.6256821751594543,0,179,0.0258073817762399,,
45,0.6246893405914307,0,179,0.0258073817762399,,
46,0.6245524287223816,0,179,0.0258073817762399,,
47,0.623333215713501,0,179,0.0258073817762399,,
48,0.6225805282592773,0,179,0.0258073817762399,,
49,0.6242483258247375,0,179,0.0258073817762399,,
50,0.6273473501205444,0,0,0.0,,
51,0.6256420016288757,0,0,0.0,,
52,0.6319766640663147,0,0,0.0,,
53,0.6294556856155396,0,0,0.0,,
54,0.6307722330093384,0,0,0.0,,
55,0.632632851600647,0,0,0.0,,
56,0.6327881813049316,0,0,0.0,,
57,0.6288439035415649,0,0,0.0,,
58,0.6362415552139282,0,0,0.0,,
59,0.6348183155059814,0,0,0.0,,
60,0.6357241272926331,0,0,0.0,,
61,0.6434096097946167,0,0,0.0,,
62,0.6369895935058594,0,0,0.0,,
63,0.6385290622711182,0,0,0.0,,
64,0.6335233449935913,0,0,0.0,,
65,0.6381571292877197,0,0,0.0,,
66,0.63475102186203,0,0,0.0,,
67,0.6371950507164001,0,0,0.0,,
68,0.6441811323165894,0,0,0.0,,
69,0.6378482580184937,0,0,0.0,,
