epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.6647286415100098,0,7,0.0010092272202998,,
1,0.6312347054481506,0,7,0.0010092272202998,,
2,0.5783997774124146,0,7,0.0010092272202998,,
3,0.5741036534309387,0,7,0.0010092272202998,,
4,0.5691006779670715,0,7,0.0010092272202998,,
5,0.5605680346488953,0,7,0.0010092272202998,,
6,0.5395404696464539,0,7,0.0010092272202998,,
7,0.5206849575042725,0,7,0.0010092272202998,,
8,0.566329836845398,0,7,0.0010092272202998,,
9,0.5731411576271057,0,7,0.0010092272202998,,
10,0.5803502202033997,0,22,0.0031718569780853,,
11,0.5772170424461365,0,22,0.0031718569780853,,
12,0.5798131227493286,0,22,0.0031718569780853,,
13,0.5834600329399109,0,22,0.0031718569780853,,
14,0.5845365524291992,0,22,0.0031718569780853,,
15,0.567710816860199,0,22,0.0031718569780853,,
16,0.5897176265716553,0,22,0.0031718569780853,,
17,0.590460479259491,0,22,0.0031718569780853,,
18,0.5927859544754028,0,22,0.0031718569780853,,
19,0.5906949043273926,0,22,0.0031718569780853,,
20,0.5897476077079773,0,139,0.0200403690888119,,
21,0.5859090685844421,0,139,0.0200403690888119,,
22,0.5902528762817383,0,139,0.0200403690888119,,
23,0.6000433564186096,0,139,0.0200403690888119,,
24,0.5951938033103943,0,139,0.0200403690888119,,
25,0.5969148278236389,0,139,0.0200403690888119,,
26,0.5937333106994629,0,139,0.0200403690888119,,
27,0.6073742508888245,0,139,0.0200403690888119,,
28,0.605431854724884,0,139,0.0200403690888119,,
29,0.6060254573822021,0,139,0.0200403690888119,,
30,0.6105158925056458,0,0,0.0,,
31,0.6119673848152161,0,0,0.0,,
32,0.6158572435379028,0,0,0.0,,
33,0.6094175577163696,0,0,0.0,,
34,0.6170541048049927,0,0,0.0,,
35,0.6167041063308716,0,0,0.0,,
36,0.6196510791778564,0,0,0.0,,
37,0.6205655336380005,0,0,0.0,,
38,0.6162313222885132,0,0,0.0,,
39,0.6228431463241577,0,0,0.0,,
40,0.6236739158630371,0,179,0.0258073817762399,,
41,0.6188344359397888,0,179,0.0258073817762399,,
42,0.6204497218132019,0,179,0.0258073817762399,,
43,0.6217055320739746,0,179,0.0258073817762399,,
44,0.6266114711761475,0,179,0.0258073817762399,,
45,0.6221901178359985,0,179,0.0258073817762399,,
46,0.6262281537055969,0,179,0.0258073817762399,,
47,0.6250483393669128,0,179,0.0258073817762399,,
48,0.627646803855896,0,179,0.0258073817762399,,
49,0.6303808689117432,0,179,0.0258073817762399,,
50,0.6330257058143616,0,0,0.0,,
51,0.6336686015129089,0,0,0.0,,
52,0.6317633986473083,0,0,0.0,,
53,0.6327490210533142,0,0,0.0,,
54,0.6326707005500793,0,0,0.0,,
55,0.6323800086975098,0,0,0.0,,
56,0.6349816918373108,0,0,0.0,,
57,0.6363904476165771,0,0,0.0,,
58,0.6363807916641235,0,0,0.0,,
59,0.6370047926902771,0,0,0.0,,
60,0.6345721483230591,0,0,0.0,,
61,0.6367200016975403,0,0,0.0,,
62,0.6373368501663208,0,0,0.0,,
63,0.6408718824386597,0,0,0.0,,
64,0.6406626105308533,0,0,0.0,,
65,0.6391926407814026,0,0,0.0,,
66,0.6413748264312744,0,0,0.0,,
67,0.6404410600662231,0,0,0.0,,
68,0.644655704498291,0,0,0.0,,
69,0.6385877132415771,0,0,0.0,,
