epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.6647286415100098,0,8,0.0011534025374855,,
1,0.6310860514640808,0,8,0.0011534025374855,,
2,0.579244077205658,0,8,0.0011534025374855,,
3,0.5731930732727051,0,8,0.0011534025374855,,
4,0.5723477005958557,0,8,0.0011534025374855,,
5,0.5638517141342163,0,8,0.0011534025374855,,
6,0.5397012233734131,0,8,0.0011534025374855,,
7,0.5311118364334106,0,8,0.0011534025374855,,
8,0.5388436317443848,0,8,0.0011534025374855,,
9,0.5711857080459595,0,8,0.0011534025374855,,
10,0.5817402601242065,0,25,0.0036043829296424,,
11,0.5798697471618652,0,25,0.0036043829296424,,
12,0.5808460712432861,0,25,0.0036043829296424,,
13,0.5833808183670044,0,25,0.0036043829296424,,
14,0.5763781666755676,0,25,0.0036043829296424,,
15,0.5739266276359558,0,25,0.0036043829296424,,
16,0.5864055156707764,0,25,0.0036043829296424,,
17,0.5857629776000977,0,25,0.0036043829296424,,
18,0.5997201204299927,0,25,0.0036043829296424,,
19,0.589788019657135,0,25,0.0036043829296424,,
20,0.5963817238807678,0,158,0.0227797001153402,,
21,0.5936533212661743,0,158,0.0227797001153402,,
22,0.586072564125061,0,158,0.0227797001153402,,
23,0.5939359664916992,0,158,0.0227797001153402,,
24,0.6017761826515198,0,158,0.0227797001153402,,
25,0.5991618037223816,0,158,0.0227797001153402,,
26,0.6004465222358704,0,158,0.0227797001153402,,
27,0.5984883904457092,0,158,0.0227797001153402,,
28,0.6089803576469421,0,158,0.0227797001153402,,
29,0.6006909012794495,0,158,0.0227797001153402,,
30,0.6003260612487793,0,0,0.0,,
31,0.6125290393829346,0,0,0.0,,
32,0.6123499870300293,0,0,0.0,,
33,0.6088625192642212,0,0,0.0,,
34,0.6167764067649841,0,0,0.0,,
35,0.6148197650909424,0,0,0.0,,
36,0.6187572479248047,0,0,0.0,,
37,0.6184436678886414,0,0,0.0,,
38,0.6207448244094849,0,0,0.0,,
39,0.6167690753936768,0,0,0.0,,
40,0.6213876605033875,0,201,0.0289792387543252,,
41,0.6179302334785461,0,201,0.0289792387543252,,
42,0.6211965084075928,0,201,0.0289792387543252,,
43,0.6204582452774048,0,201,0.0289792387543252,,
44,0.6265520453453064,0,201,0.0289792387543252,,
45,0.622894823551178,0,201,0.0289792387543252,,
46,0.6294456124305725,0,201,0.0289792387543252,,
47,0.6263921856880188,0,201,0.0289792387543252,,
48,0.6280255317687988,0,201,0.0289792387543252,,
49,0.6300177574157715,0,201,0.0289792387543252,,
50,0.6291467547416687,0,0,0.0,,
51,0.6281653046607971,0,0,0.0,,
52,0.6265020966529846,0,0,0.0,,
53,0.6275478601455688,0,0,0.0,,
54,0.6259398460388184,0,0,0.0,,
55,0.6336637735366821,0,0,0.0,,
56,0.6286394596099854,0,0,0.0,,
57,0.6328028440475464,0,0,0.0,,
58,0.6352737545967102,0,0,0.0,,
59,0.6301727294921875,0,0,0.0,,
60,0.635479211807251,0,0,0.0,,
61,0.6311315894126892,0,0,0.0,,
62,0.6411323547363281,0,0,0.0,,
63,0.6351964473724365,0,0,0.0,,
64,0.6408398151397705,0,0,0.0,,
65,0.6372091174125671,0,0,0.0,,
66,0.6397764682769775,0,0,0.0,,
67,0.6375024914741516,0,0,0.0,,
68,0.6425589919090271,0,0,0.0,,
69,0.6370054483413696,0,0,0.0,,
