epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.8431881070137024,0,46,0.0019461837874428,,
1,0.5768886804580688,0,46,0.0019461837874428,,
2,0.5437180995941162,0,46,0.0019461837874428,,
3,0.589339017868042,0,46,0.0019461837874428,,
4,0.618675708770752,0,46,0.0019461837874428,,
5,0.6317862868309021,0,46,0.0019461837874428,,
6,0.636893093585968,0,46,0.0019461837874428,,
7,0.6234655380249023,0,46,0.0019461837874428,,
8,0.615594208240509,0,46,0.0019461837874428,,
9,0.619281530380249,0,46,0.0019461837874428,,
10,0.6094378232955933,0,298,0.0126078862751734,,
11,0.6005336046218872,0,298,0.0126078862751734,,
12,0.6093051433563232,0,298,0.0126078862751734,,
13,0.6065818071365356,0,298,0.0126078862751734,,
14,0.6040319800376892,0,298,0.0126078862751734,,
15,0.615439236164093,0,298,0.0126078862751734,,
16,0.614002525806427,0,298,0.0126078862751734,,
17,0.6151309609413147,0,298,0.0126078862751734,,
18,0.6157788038253784,0,298,0.0126078862751734,,
19,0.6248744130134583,0,298,0.0126078862751734,,
20,0.6227598786354065,0,407,0.0172194956845489,,
21,0.6217412352561951,0,407,0.0172194956845489,,
22,0.6272974610328674,0,407,0.0172194956845489,,
23,0.6295385360717773,0,407,0.0172194956845489,,
24,0.6201342344284058,0,407,0.0172194956845489,,
25,0.6322546601295471,0,407,0.0172194956845489,,
26,0.6250209212303162,0,407,0.0172194956845489,,
27,0.6289854049682617,0,407,0.0172194956845489,,
28,0.6285378336906433,0,407,0.0172194956845489,,
29,0.6344619989395142,0,407,0.0172194956845489,,
30,0.6440725922584534,0,0,0.0,,
31,0.628617525100708,0,0,0.0,,
32,0.6517265439033508,0,0,0.0,,
33,0.6494449377059937,0,0,0.0,,
34,0.641884982585907,0,0,0.0,,
35,0.6468077898025513,0,0,0.0,,
36,0.6425501108169556,0,0,0.0,,
37,0.6399057507514954,0,0,0.0,,
38,0.6497479677200317,0,0,0.0,,
39,0.6471681594848633,0,0,0.0,,
40,0.6387648582458496,0,0,0.0,,
41,0.6353564262390137,0,0,0.0,,
42,0.6444743275642395,0,0,0.0,,
43,0.6369357109069824,0,0,0.0,,
44,0.6499856114387512,0,0,0.0,,
45,0.6452476382255554,0,0,0.0,,
46,0.6461531519889832,0,0,0.0,,
47,0.660248875617981,0,0,0.0,,
48,0.6540073752403259,0,0,0.0,,
49,0.6540355086326599,0,0,0.0,,
50,0.6474528908729553,0,313,0.0132425114232526,,
51,0.6655661463737488,0,313,0.0132425114232526,,
52,0.6568359732627869,0,313,0.0132425114232526,,
53,0.6519339680671692,0,313,0.0132425114232526,,
54,0.6543459892272949,0,313,0.0132425114232526,,
55,0.642224907875061,0,313,0.0132425114232526,,
56,0.6420700550079346,0,313,0.0132425114232526,,
57,0.6449884176254272,0,313,0.0132425114232526,,
58,0.6562554240226746,0,313,0.0132425114232526,,
59,0.6571242213249207,0,313,0.0132425114232526,,
60,0.6533264517784119,0,0,0.0,,
61,0.6484834551811218,0,0,0.0,,
62,0.6481888294219971,0,0,0.0,,
63,0.6624053716659546,0,0,0.0,,
64,0.6491147875785828,0,0,0.0,,
65,0.6575225591659546,0,0,0.0,,
66,0.6627384424209595,0,0,0.0,,
67,0.6624575853347778,0,0,0.0,,
68,0.6541727185249329,0,0,0.0,,
69,0.6562691926956177,0,0,0.0,,
