epoch,radius_mean,added,removed,mod_ratio,hit3,hit10
0,0.8431881666183472,0,51,0.0021577255034692,,
1,0.5780899524688721,0,51,0.0021577255034692,,
2,0.5464473366737366,0,51,0.0021577255034692,,
3,0.5907991528511047,0,51,0.0021577255034692,,
4,0.6184908151626587,0,51,0.0021577255034692,,
5,0.6335251331329346,0,51,0.0021577255034692,,
6,0.6375696659088135,0,51,0.0021577255034692,,
7,0.6445674300193787,0,51,0.0021577255034692,,
8,0.6244258284568787,0,51,0.0021577255034692,,
9,0.6224275231361389,0,51,0.0021577255034692,,
10,0.6163538098335266,0,367,0.0155271619563377,,
11,0.6081921458244324,0,367,0.0155271619563377,,
12,0.6064984202384949,0,367,0.0155271619563377,,
13,0.611942708492279,0,367,0.0155271619563377,,
14,0.6061941981315613,0,367,0.0155271619563377,,
15,0.6069880127906799,0,367,0.0155271619563377,,
16,0.6159826517105103,0,367,0.0155271619563377,,
17,0.6118358373641968,0,367,0.0155271619563377,,
18,0.6164403557777405,0,367,0.0155271619563377,,
19,0.6217198967933655,0,367,0.0155271619563377,,
20,0.6188528537750244,0,0,0.0,,
21,0.6119965314865112,0,0,0.0,,
22,0.6194884777069092,0,0,0.0,,
23,0.6294232606887817,0,0,0.0,,
24,0.6359111070632935,0,0,0.0,,
25,0.6303630471229553,0,0,0.0,,
26,0.6324406266212463,0,0,0.0,,
27,0.63484787940979,0,0,0.0,,
28,0.6433523893356323,0,0,0.0,,
29,0.6377691626548767,0,0,0.0,,
30,0.6406990885734558,0,628,0.0265696395329158,,
31,0.6448160409927368,0,628,0.0265696395329158,,
32,0.6545844674110413,0,628,0.0265696395329158,,
33,0.6451324224472046,0,628,0.0265696395329158,,
34,0.6386240124702454,0,628,0.0265696395329158,,
35,0.6384695172309875,0,628,0.0265696395329158,,
36,0.6459358334541321,0,628,0.0265696395329158,,
37,0.6426314115524292,0,628,0.0265696395329158,,
38,0.6401007771492004,0,628,0.0265696395329158,,
39,0.6407644152641296,0,628,0.0265696395329158,,
40,0.6450061798095703,0,0,0.0,,
41,0.646374523639679,0,0,0.0,,
42,0.6398386359214783,0,0,0.0,,
43,0.6373422741889954,0,0,0.0,,
44,0.6503214836120605,0,0,0.0,,
45,0.6459901332855225,0,0,0.0,,
46,0.6541584134101868,0,0,0.0,,
47,0.6599184274673462,0,0,0.0,,
48,0.6591386198997498,0,0,0.0,,
49,0.6591932773590088,0,0,0.0,,
50,0.6562404632568359,0,0,0.0,,
51,0.6422401666641235,0,0,0.0,,
52,0.6614196300506592,0,0,0.0,,
53,0.6615151166915894,0,0,0.0,,
54,0.6517844200134277,0,0,0.0,,
55,0.6560146808624268,0,0,0.0,,
56,0.6598191857337952,0,0,0.0,,
57,0.6642536520957947,0,0,0.0,,
58,0.6678972244262695,0,0,0.0,,
59,0.664818286895752,0,0,0.0,,
60,0.6500937342643738,0,0,0.0,,
61,0.6572420597076416,0,0,0.0,,
62,0.6436694264411926,0,0,0.0,,
63,0.6616919636726379,0,0,0.0,,
64,0.6551387310028076,0,0,0.0,,
65,0.6508795619010925,0,0,0.0,,
66,0.659308910369873,0,0,0.0,,
67,0.6554283499717712,0,0,0.0,,
68,0.6498330235481262,0,0,0.0,,
69,0.6621116399765015,0,0,0.0,,
